customer_key,customer_id,first_name,last_name,marital_status,gender,birth_date,country,created_date
AW00011083,11083,James,Jackson,Single,Male,1990-02-11,United States,2025-02-13
AW00011084,11084,Brian,Wilson,Single,Male,1950-02-07,United States,2023-09-10
AW00011085,11085,Mark,Singh,Married,Female,1961-09-03,United States,2025-08-21
AW00011086,11086,Steven,Wright,Married,Male,2005-07-30,Australia,2025-05-17
AW00011087,11087,Robert,Miller,Single,Female,1955-10-04,Canada,2025-06-20
AW00011088,11088,Thomas,Parker,Married,Male,1996-12-09,United States,2026-03-20
AW00011089,11089,Donna,Lopez,Single,Female,1982-08-12,Australia,2024-09-25
AW00011090,11090,Patricia,Garcia,Married,Female,1968-05-24,France,2023-09-24
AW00011091,11091,Richard,Garcia,Single,Female,1966-06-01,Australia,2023-12-15
AW00011092,11092,Andrew,Ngata,Married,Male,2005-04-05,France,2023-04-29
AW00011093,11093,Susan,Anderson,Married,Male,1973-05-14,United States,2023-02-17
AW00011094,11094,Charles,Thompson,Single,Male,1945-11-02,United States,2024-08-17
AW00011095,11095,Baraa,Scott,Single,Female,1951-07-29,United Kingdom,2025-01-09
AW00011096,11096,Deborah,Moore,Married,Male,1956-11-19,Australia,2025-10-12
AW00011097,11097,Richard,White,Single,Female,1966-12-01,Australia,2024-07-22
AW00011098,11098,Rebecca,Carter,Single,Male,1984-04-24,United States,2023-03-08
AW00011099,11099,Stephanie,Ngata,Married,Male,1999-11-17,Canada,2024-07-30
AW00011100,11100,James,Martin,Single,Female,2004-12-01,Canada,2024-09-28
AW00011101,11101,Sandra,Lee,Single,Female,2004-07-07,United Kingdom,2023-12-12
AW00011102,11102,Carol,Lewis,Married,Female,1968-09-23,Germany,2023-04-27
AW00011103,11103,Malia,Anderson,Single,Male,1994-08-20,United States,2023-10-09
AW00011104,11104,Mary,Adams,Single,Male,1999-04-07,New Zealand,2024-08-17
AW00011105,11105,Peter,Brown,Married,Male,1963-04-08,Australia,2025-05-16
AW00011106,11106,Jessica,Manu,Single,Male,1990-05-06,New Zealand,2023-01-03
AW00011107,11107,Daniel,Wright,Single,Female,1953-04-13,United Kingdom,2025-10-01
AW00011108,11108,Stephanie,Nan,Married,Female,1948-12-15,Canada,2024-08-24
AW00011109,11109,Matthew,White,Single,Male,1956-09-26,Australia,2025-03-11
AW00011110,11110,Anthony,Patel,Married,Female,1959-07-01,Australia,2023-08-12
AW00011111,11111,Sarah,Kumar,Single,Female,1995-04-28,United Kingdom,2024-03-13
AW00011112,11112,Ronald,Thompson,Married,Female,2006-12-30,United States,2023-02-22
AW00011113,11113,John,Patel,Single,Male,1978-02-15,Australia,2024-05-25
AW00011114,11114,Anthony,Thompson,Married,Male,1983-07-24,Australia,2025-09-12
AW00011115,11115,Donald,King,Married,Female,1977-09-18,Australia,2024-10-12
AW00011116,11116,Barbara,Ngata,Married,Male,1977-02-06,Australia,2023-09-14
AW00011117,11117,Patricia,Hall,Single,Male,2004-11-01,Australia,2025-01-04
AW00011118,11118,Carol,Thompson,Married,Male,2000-09-06,NZ,2024-01-18
AW00011119,11119,James,Martin,Single,Male,1959-07-31,Canada,2026-05-25
AW00011120,11120,Sandra,Thompson,Married,Female,1981-12-28,United States,2023-08-08
AW00011121,11121,Joshua,Campbell,Married,Female,1974-10-21,nan,2024-06-25
AW00011122,11122,Linda,Smith,Married,Male,2005-02-06,Australia,2023-04-08
AW00011123,11123,Elizabeth,Patel,Married,Male,1968-12-08,United States,2024-09-10
AW00011124,11124,David,Kumar,Single,Male,1979-04-28,Australia,2024-08-07
AW00011125,11125,Michael,Taylor,Married,Male,1964-12-15,UK,2024-03-18
AW00011126,11126,Donna,Campbell,Single,Male,1976-05-15,Australia,2025-07-12
AW00011127,11127,Carol,King,Single,Female,1964-12-31,United States,2025-09-09
AW00011128,11128,Emily,Allen,Single,Male,1980-09-30,Australia,2024-06-13
AW00011129,11129,Mary,Patel,Married,Male,1970-01-16,Australia,2026-03-17
AW00011131,11131,George,Clark,Single,Female,1947-06-24,Australia,2025-06-02
AW00011132,11132,Elizabeth,Scott,Single,Male,1961-01-08,Canada,2026-05-13
AW00011133,11133,Sandra,Thomas,Single,Female,1948-06-07,Australia,2024-08-02
AW00011134,11134,Susan,Davis,Married,Female,1976-01-06,United States,2025-09-17
AW00011135,11135,John,Jackson,Single,Male,1984-02-25,Australia,2024-05-11
AW00011136,11136,James,Campbell,Married,Male,1979-07-24,Australia,2024-06-10
AW00011137,11137,Jennifer,Jackson,Married,Male,1967-11-08,Germany,2026-02-08
AW00011138,11138,Sione,Young,Married,Female,1945-02-25,United Kingdom,2026-04-09
AW00011139,11139,Malia,Taylor,Single,Male,1977-09-04,United States,2024-03-09
AW00011140,11140,Peter,Davis,Single,Female,2000-11-27,Australia,2023-02-04
AW00011141,11141,Jessica,Wright,Single,Male,1971-12-11,United Kingdom,2025-12-30
AW00011142,11142,Keziah,Turner,Single,Male,1974-04-07,United States,2025-12-20
AW00011143,11143,Paul,Hall,Married,Female,1994-09-27,Australia,2023-03-29
AW00011144,11144,Donna,Mitchell,Single,Female,2004-08-27,France,2024-07-29
AW00011145,11145,Patricia,Allen,Single,Male,2000-03-22,Germany,2024-06-12
AW00011146,11146,Donna,Lewis,Single,Male,1994-02-27,New Zealand,2023-01-13
AW00011147,11147,Melissa,Toalii,Single,Female,1970-09-28,United States,2025-12-25
AW00011148,11148,Mark,King,Single,Male,1986-09-19,Australia,2024-03-14
AW00011149,11149,David,Jackson,Married,Male,1990-11-11,USA,2024-06-03
AW00011150,11150,Kenneth,Turner,Single,Male,2004-02-10,Australia,2023-05-29
AW00011151,11151,Amanda,Smith,Single,Female,1953-05-19,United Kingdom,2023-03-07
AW00011152,11152,Stephanie,Jackson,Single,Female,2005-05-12,Australia,2024-07-04
AW00011153,11153,Timothy,Nime,Single,Male,1958-03-22,France,2026-05-30
AW00011154,11154,Anthony,Martin,Single,Male,1987-08-18,Canada,2023-10-26
AW00011155,11155,Brian,Kumar,Single,Male,1985-11-10,United Kingdom,2026-05-17
AW00011156,11156,Mark,Lee,Single,Female,1979-06-14,Canada,2025-05-29
AW00011157,11157,David,Carter,Single,Female,1958-03-29,Canada,2023-12-26
AW00011158,11158,Kenneth,Anderson,Single,Female,1954-07-25,United Kingdom,2025-06-02
AW00011159,11159,Elizabeth,Wright,Married,Male,1960-10-12,United Kingdom,2026-02-05
AW00011160,11160,Richard,White,Single,Female,1949-07-04,Australia,2023-08-19
AW00011161,11161,Linda,Walker,Married,Male,1985-12-14,Australia,2023-05-30
AW00011162,11162,Joshua,Thomas,Single,Female,2004-11-22,Canada,2023-06-14
AW00011163,11163,Michael,Lopez,Single,Female,1984-09-15,United Kingdom,2026-03-09
AW00011164,11164,Brian,Smith,Married,Female,1994-02-25,Canada,2023-06-01
AW00011165,11165,David,Johnson,Single,Female,1987-08-03,Australia,2026-01-09
AW00011166,11166,Barbara,Walker,Married,Male,2002-03-17,Australia,2024-10-20
AW00011167,11167,Betty,Adams,Married,Male,2001-03-25,Canada,2025-03-20
AW00011168,11168,Mark,Martin,Married,Male,1951-12-14,United Kingdom,2025-10-17
AW00011169,11169,Donald,Ngata,Married,Male,1969-05-18,Australia,2025-08-13
AW00011170,11170,Matthew,Hall,Single,Female,1957-06-01,New Zealand,2024-10-24
AW00011171,11171,Lisa,Nelson,Married,Male,1958-09-17,Australia,2023-06-19
AW00011172,11172,Matthew,Martin,Married,Male,1982-03-22,AU,2024-09-16
AW00011173,11173,Joseph,Kumar,Married,Female,1982-04-21,Australia,2023-03-02
AW00011174,11174,Andrew,Singh,Married,Female,1979-12-11,United States,2025-03-18
AW00011175,11175,Richard,Adams,Single,Male,1996-08-25,Australia,2023-10-07
AW00011176,11176,Steven,Turner,Single,Male,1976-07-23,United Kingdom,2024-03-29
AW00011177,11177,Amanda,Lewis,Single,Male,1982-08-05,US,2024-01-19
AW00011178,11178,Susan,Wilson,Single,Male,1988-10-20,Australia,2025-01-09
AW00011179,11179,Stephanie,Baker,Single,Male,1988-07-27,Australia,2025-05-28
AW00011180,11180,Malia,Johnson,Married,Female,2005-01-03,UK,2025-07-21
AW00011181,11181,Daniel,Baker,Married,Male,1959-10-23,United States,2026-02-25
AW00011182,11182,Steven,Parker,Single,Female,2000-10-29,Australia,2026-05-13
AW00011183,11183,Kenneth,Walker,Married,Male,1998-02-07,New Zealand,2025-02-15
AW00011184,11184,Jason,Jones,Married,Female,1952-07-13,Australia,2023-08-03
AW00011185,11185,Ronald,Lewis,Married,Female,1986-06-03,Australia,2025-12-25
AW00011186,11186,Deborah,Taylor,Married,Male,1979-01-05,United Kingdom,2024-07-06
AW00011187,11187,Carol,Patel,Single,Male,1974-04-29,United States,2023-06-25
AW00011188,11188,Paul,Baker,Single,Female,1969-12-18,Australia,2025-02-05
AW00011189,11189,Kimberly,Brown,Single,Female,1967-08-20,Australia,2023-12-06
AW00011190,11190,Melissa,Patel,Married,Male,1946-09-28,Australia,2024-12-23
AW00011191,11191,Aroha,Turner,Single,Male,1976-05-25,United States,2025-12-03
AW00011192,11192,Ronald,Carter,Married,Female,2003-06-22,Australia,2025-11-15
AW00011193,11193,Jessica,Taylor,Married,Male,1967-03-09,Australia,2023-05-27
AW00011194,11194,Karen,Nime,Single,Male,2000-09-28,New Zealand,2023-08-21
AW00011195,11195,Tane,Thompson,Single,Female,1987-06-27,Australia,2023-09-16
AW00011196,11196,Keziah,Mitchell,Single,Male,1986-09-21,USA,2025-08-25
AW00011197,11197,Betty,Smith,Single,Female,1960-01-21,Germany,2023-09-16
AW00011198,11198,Andrew,Baker,Single,Female,1959-09-11,Germany,2025-01-04
AW00011199,11199,Deborah,Adams,Married,Female,1996-12-01,Australia,2025-07-21
AW00011200,11200,Carol,Moore,Single,Male,1996-08-28,US,2025-05-19
AW00011201,11201,Tane,Allen,Single,Male,1980-08-02,Australia,2025-06-23
AW00011202,11202,Sione,Roberts,Married,Female,1951-10-27,Australia,2026-02-01
AW00011203,11203,Peter,Lopez,Single,Male,1954-02-22,Australia,2024-10-06
AW00011204,11204,Baraa,Kumar,Single,Male,2006-05-22,Australia,2026-05-18
AW00011205,11205,Jessica,Wright,Married,Female,1995-10-10,Australia,2026-04-29
AW00011206,11206,Carol,Nime,Single,Male,1992-10-17,United States,2025-08-14
AW00011207,11207,Michael,Adams,Single,Female,1951-03-10,Australia,2025-06-01
AW00011208,11208,Donna,Adams,Married,Female,1946-02-19,Canada,2024-01-07
AW00011209,11209,Rebecca,Ngata,Single,Male,1954-06-21,Canada,2025-11-09
AW00011210,11210,Sione,Allen,Married,Female,2002-01-08,Australia,2024-07-14
AW00011211,11211,Nancy,Baker,Single,Male,1958-09-23,Australia,2024-08-09
AW00011212,11212,Malia,King,Married,Male,2000-04-04,Canada,2023-09-05
AW00011213,11213,Rebecca,Williams,Married,Female,1986-09-15,United States,2023-12-09
AW00011214,11214,William,Davis,Married,Male,1973-12-01,Australia,2024-05-08
AW00011215,11215,Linda,Mitchell,Married,Male,1970-01-09,United States,2024-11-04
AW00011216,11216,Malia,Roberts,Single,Male,1986-09-10,Australia,2026-03-27
AW00011217,11217,Rebecca,Wright,Married,Male,1975-03-08,Australia,2023-04-07
AW00011218,11218,Timothy,Singh,Married,Female,1974-02-28,United Kingdom,2025-03-05
AW00011219,11219,Thomas,Nelson,Married,Female,1976-10-31,United Kingdom,2025-07-01
AW00011220,11220,Aroha,Roberts,Single,Female,1970-02-02,Australia,2026-01-06
AW00011221,11221,Ashley,Thomas,Married,Male,1994-11-12,Australia,2025-09-06
AW00011222,11222,Joshua,Patel,Married,Male,1952-09-06,Australia,2024-12-01
AW00011223,11223,Peter,Nime,Married,Male,1988-10-31,Australia,2025-05-21
AW00011224,11224,Daniel,Wright,Married,Female,2006-12-16,Germany,2024-05-17
AW00011225,11225,Kenneth,Walker,Married,Male,1985-03-17,Australia,2025-10-23
AW00011226,11226,Joshua,Jones,Single,Male,1971-05-26,Australia,2025-11-07
AW00011227,11227,Richard,Allen,Single,Female,1972-06-21,Canada,2023-10-11
AW00011228,11228,Donna,Smith,Married,Male,1987-06-17,France,2024-04-08
AW00011229,11229,Mark,Toalii,Single,Female,1983-03-05,Australia,2026-04-26
AW00011230,11230,Michelle,Hall,Single,Male,1976-07-25,Australia,2023-12-26
AW00011231,11231,Susan,Carter,Married,Female,1972-07-05,New Zealand,2023-07-28
AW00011232,11232,Donna,Campbell,Married,Male,1962-04-12,Canada,2024-06-18
AW00011233,11233,Susan,Thompson,Married,Male,1962-03-09,United States,2025-05-07
AW00011234,11234,Mere,Hall,Married,Female,1969-10-22,Germany,2024-07-26
AW00011235,11235,Melissa,Brown,Married,Female,1954-01-08,Australia,2025-03-01
AW00011236,11236,Robert,Phillips,Married,Male,1965-05-30,United Kingdom,2026-02-12
AW00011237,11237,Rebecca,Nime,Married,Female,1946-04-09,United Kingdom,2024-07-11
AW00011238,11238,Jessica,Jackson,Single,Female,1969-08-11,United States,2023-12-10
AW00011239,11239,Malia,Parker,Married,Female,1994-08-24,Australia,2026-03-22
AW00011240,11240,Keziah,Baker,Married,Male,2002-03-24,AU,2025-08-31
AW00011241,11241,Donna,Miller,Single,Male,1954-03-16,Canada,2025-03-25
AW00011242,11242,Lisa,Miller,Married,Male,1987-02-11,United Kingdom,2023-02-20
AW00011243,11243,Stephanie,Lopez,Single,Female,1961-07-17,Australia,2023-04-08
AW00011244,11244,Baraa,Green,Single,Female,1987-11-11,Australia,2025-04-15
AW00011245,11245,Thomas,Baker,Single,Female,1980-12-13,Australia,2024-10-25
AW00011246,11246,Ashley,Wright,Single,Male,1958-08-12,United States,2023-03-21
AW00011247,11247,Ronald,Nime,Married,Female,1952-08-23,New Zealand,2024-12-24
AW00011248,11248,Elizabeth,Scott,Single,Male,1995-01-25,Canada,2025-08-01
AW00011249,11249,Emily,Mitchell,Single,Female,1991-11-19,United Kingdom,2025-12-21
AW00011250,11250,Joshua,Lee,Married,Male,1971-09-05,Australia,2023-11-14
AW00011251,11251,Mere,Walker,Married,Male,1972-05-25,United Kingdom,2023-07-12
AW00011252,11252,Lisa,White,Single,Male,1999-09-11,United Kingdom,2024-04-18
AW00011253,11253,Carol,Singh,Single,Male,1963-08-23,Australia,2023-08-17
AW00011254,11254,George,Nime,Married,Female,2004-04-01,Australia,2026-04-08
AW00011255,11255,Thomas,Thomas,Single,Male,1960-08-05,Australia,2024-04-04
AW00011256,11256,Peter,Nelson,Married,Female,1945-03-29,Australia,2023-04-02
AW00011257,11257,William,Baker,Married,Female,1971-02-17,New Zealand,2023-01-11
AW00011258,11258,Linda,Wilson,Single,Female,1970-05-14,AU,2026-04-14
AW00011259,11259,Linda,Manu,Single,Female,1951-05-22,Australia,2023-06-21
AW00011260,11260,Keziah,Thomas,Married,Female,2001-01-28,United States,2024-04-07
AW00011261,11261,Sarah,Garcia,Married,Female,1983-02-21,Australia,2023-12-30
AW00011262,11262,Stephanie,White,Single,Male,2003-02-07,Australia,2026-05-08
AW00011263,11263,Nancy,Lopez,Married,Male,1957-10-05,Australia,2025-08-29
AW00011264,11264,Jason,Clark,Single,Female,1972-08-06,United States,2023-09-13
AW00011265,11265,Paul,Patel,Married,Female,1984-05-26,Australia,2025-10-20
AW00011266,11266,Matthew,Martin,Single,Female,1981-02-10,United States,2024-03-30
AW00011267,11267,Anthony,Perez,Married,Female,1984-04-10,Australia,2025-03-11
AW00011268,11268,Linda,Adams,Single,Female,1983-10-05,United States,2024-03-03
AW00011269,11269,Joshua,Clark,Married,Female,1947-04-28,New Zealand,2023-07-12
AW00011270,11270,Kimberly,Nelson,Single,Male,2005-04-25,Australia,2025-05-19
AW00011271,11271,Tane,Walker,Single,Female,1960-09-19,United Kingdom,2024-11-05
AW00011272,11272,Paul,Singh,Single,Female,1969-12-15,AU,2024-09-11
AW00011273,11273,Mary,Nime,Single,Female,2001-12-13,United States,2023-02-14
AW00011274,11274,Baraa,Garcia,Married,Male,1987-03-03,United Kingdom,2025-11-27
AW00011275,11275,Charles,Young,Single,Male,1973-10-21,Australia,2025-08-06
AW00011276,11276,Tane,Thomas,Married,Male,1974-08-04,Australia,2024-01-02
AW00011277,11277,Sione,Hall,Married,Female,1970-11-10,Australia,2024-05-23
AW00011278,11278,Keziah,Clark,Single,Male,1994-05-09,Australia,2023-07-19
AW00011279,11279,Tane,Baker,Single,Female,1973-03-21,Australia,2026-02-14
AW00011280,11280,Donna,Nime,Single,Male,1981-04-06,Australia,2024-01-09
AW00011281,11281,Stephanie,Miller,Single,Female,2004-01-02,United States,2024-04-21
AW00011282,11282,Michael,Anderson,Single,Male,1982-01-28,Australia,2024-12-24
AW00011283,11283,Peter,Phillips,Married,Female,2000-11-10,United States,2025-09-20
AW00011284,11284,Paul,Parker,Single,Female,1949-08-19,United States,2023-06-25
AW00011285,11285,Michelle,Martin,Single,Male,1970-11-04,France,2024-11-22
AW00011286,11286,Amanda,Wilson,Married,Male,1955-11-23,Australia,2023-07-29
AW00011287,11287,Stephanie,Perez,Single,Male,1999-08-17,Australia,2023-01-23
AW00011288,11288,Baraa,Parker,Single,Male,1972-11-17,New Zealand,2025-05-23
AW00011289,11289,Peter,Turner,Single,Female,1953-05-13,New Zealand,2025-06-18
AW00011290,11290,Jason,Phillips,Married,Female,1986-05-26,Australia,2024-09-03
AW00011291,11291,James,Perez,Married,Male,1989-09-17,New Zealand,2024-01-03
AW00011292,11292,Elizabeth,Toalii,Married,Male,1990-08-27,Australia,2024-03-07
AW00011293,11293,Michelle,Miller,Single,Male,1988-04-15,AU,2024-06-09
AW00011294,11294,Robert,Clark,Single,Female,1985-12-24,Australia,2026-03-28
AW00011295,11295,Michael,Phillips,Married,Female,1962-02-06,Australia,2026-01-15
AW00011296,11296,Emily,Hall,Married,Female,1951-04-07,United Kingdom,2026-03-18
AW00011297,11297,Jason,Ngata,Married,Female,1975-06-30,Australia,2023-12-05
AW00011298,11298,Tane,Thomas,Single,Male,1945-03-26,Australia,2024-04-19
AW00011299,11299,Jennifer,Campbell,Single,Male,1997-08-28,United States,2024-10-07
AW00011300,11300,Andrew,Anderson,Married,Female,1958-05-02,Australia,2023-09-17
AW00011301,11301,Jennifer,Lopez,Married,Female,1975-12-19,Australia,2025-05-14
AW00011302,11302,Sione,Adams,Married,Male,1985-11-07,United Kingdom,2025-04-03
AW00011303,11303,Thomas,Miller,Single,Male,1966-06-05,United States,2025-06-10
AW00011304,11304,Robert,Phillips,Married,Female,1981-11-08,Australia,2025-06-10
AW00011305,11305,Ashley,King,Single,Female,1979-03-16,Australia,2023-11-16
AW00011306,11306,Amanda,Smith,Single,Female,1989-06-09,United States,2024-12-11
AW00011307,11307,William,Kumar,Single,Male,1990-01-24,United States,2025-02-28
AW00011308,11308,Joshua,Lee,Single,Male,1954-01-02,Australia,2023-02-26
AW00011309,11309,Sarah,Davis,Married,Male,1953-12-12,Australia,2024-12-05
AW00011310,11310,Donna,Green,Single,Male,1946-05-18,United States,2024-04-11
AW00011311,11311,Andrew,Wright,Married,Male,2003-09-29,Australia,2025-02-08
AW00011312,11312,Tane,Mitchell,Single,Male,1987-02-14,Australia,2025-10-14
AW00011313,11313,Susan,Lee,Single,Female,1975-05-17,United States,2025-11-28
AW00011314,11314,John,Miller,Married,Male,2003-04-20,Australia,2025-05-02
AW00011315,11315,Emily,Walker,Married,Male,2005-07-02,Australia,2026-04-07
AW00011316,11316,John,Jones,Single,Male,1973-05-30,Australia,2025-09-20
AW00011317,11317,James,Green,Married,Male,1993-07-16,Australia,2024-04-11
AW00011318,11318,Robert,Williams,Single,Female,1966-01-23,Australia,2025-02-09
AW00011319,11319,Tane,Johnson,Married,Female,1965-05-30,New Zealand,2023-08-31
AW00011320,11320,Sione,Johnson,Single,Female,1953-10-31,United States,2024-06-04
AW00011321,11321,Kimberly,Wright,Married,Male,1984-10-21,Australia,2024-10-05
AW00011322,11322,George,Parker,Married,Female,,Australia,2026-02-25
AW00011323,11323,Mary,Young,Married,Female,1971-04-28,United States,2025-07-23
AW00011324,11324,Tane,Ngata,Single,Male,1958-01-23,Australia,2024-11-26
AW00011325,11325,Keziah,Taylor,Single,Female,1995-10-10,United States,2023-05-19
AW00011326,11326,Lisa,Scott,Single,Male,1960-04-02,New Zealand,2025-12-26
AW00011327,11327,Melissa,Carter,Single,Female,2000-08-06,United States,2024-09-13
AW00011328,11328,Tane,Walker,Married,Male,1997-04-26,Australia,2024-04-23
AW00011329,11329,Keziah,Hall,Single,Male,2002-03-25,United Kingdom,2025-06-25
AW00011330,11330,Kimberly,Johnson,Married,Female,2004-10-29,United States,2024-08-09
AW00011331,11331,Jessica,Carter,Single,Female,1986-09-28,United Kingdom,2026-04-23
AW00011332,11332,Kimberly,Clark,Married,Male,1951-08-18,DE,2023-06-02
