cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
11184.0,AW00011184,Jason,Jones,M,F,2023-08-03
11185.0,AW00011185,Ronald,Lewis,M,F,2025-12-25
11186.0,AW00011186,Deborah,Taylor,M,M,2024-07-06
11187.0,AW00011187,Carol,Patel,S,M,2023-06-25
11188.0,AW00011188,Paul,Baker,S,F,2025-02-05
11189.0,AW00011189,Kimberly,Brown,S,F,2023-12-06
11190.0,AW00011190,Melissa,Patel,M,M,2024-12-23
11191.0,AW00011191,Aroha,Turner,S,M,2025-12-03
11192.0,AW00011192,Ronald,Carter,M,F,2025-11-15
11193.0,AW00011193,Jessica,Taylor,M,M,2023-05-27
11194.0,AW00011194,Karen,Nime,S,M,2023-08-21
11195.0,AW00011195,Tane,Thompson,S,F,2023-09-16
11196.0,AW00011196,Keziah,Mitchell,S,M,2025-08-25
11197.0,AW00011197,Betty,Smith,S,F,2023-09-16
11198.0,AW00011198,Andrew,Baker,S,F,2025-01-04
11199.0,AW00011199,Deborah,Adams,M,F,2025-07-21
11200.0,AW00011200,Carol,Moore,S,M,2025-05-19
11201.0,AW00011201,Tane,Allen,S,M,2025-06-23
11202.0,AW00011202,Sione,Roberts,M,F,2026-02-01
11203.0,AW00011203,Peter,Lopez,S,M,2024-10-06
11204.0,AW00011204,Baraa,Kumar,S,M,2026-05-18
11205.0,AW00011205,Jessica,Wright,M,F,2026-04-29
11206.0,AW00011206,Carol,Nime,S,M,2025-08-14
11207.0,AW00011207,Michael,Adams,S,F,2025-06-01
11208.0,AW00011208,Donna,Adams,M,F,2024-01-07
11209.0,AW00011209,Rebecca,Ngata,S,M,2025-11-09
11210.0,AW00011210,Sione,Allen,M,F,2024-07-14
11211.0,AW00011211,Nancy,Baker,S,M,2024-08-09
11212.0,AW00011212,Malia,King,M,M,2023-09-05
11213.0,AW00011213,Rebecca,Williams,M,F,2023-12-09
11214.0,AW00011214,William,Davis,M,M,2024-05-08
11215.0,AW00011215,Linda,Mitchell,M,M,2024-11-04
11216.0,AW00011216,Malia,Roberts,S,M,2026-03-27
11217.0,AW00011217,Rebecca,Wright,M,M,2023-04-07
11218.0,AW00011218,Timothy,Singh,M,F,2025-03-05
11219.0,AW00011219,Thomas,Nelson,M,F,2025-07-01
11220.0,AW00011220,Aroha,Roberts,S,F,2026-01-06
11221.0,AW00011221,Ashley,Thomas,M,M,2025-09-06
11222.0,AW00011222,Joshua,Patel,M,M,2024-12-01
11223.0,AW00011223,Peter,Nime,M,M,2025-05-21
11224.0,AW00011224,Daniel,Wright,M,F,2024-05-17
11225.0,AW00011225,Kenneth,Walker,M,M,2025-10-23
11226.0,AW00011226,Joshua,Jones,S,M,2025-11-07
11227.0,AW00011227,Richard,Allen,S,F,2023-10-11
11228.0,AW00011228,Donna,Smith,M,M,2024-04-08
11229.0,AW00011229,Mark,Toalii,S,F,2026-04-26
11230.0,AW00011230,Michelle,Hall,S,M,2023-12-26
11231.0,AW00011231,Susan,Carter,M,F,2023-07-28
11232.0,AW00011232,Donna,Campbell,M,M,2024-06-18
11233.0,AW00011233,Susan,Thompson,M,M,2025-05-07
11234.0,AW00011234,Mere,Hall,M,F,2024-07-26
11235.0,AW00011235,Melissa,Brown,M,F,2025-03-01
11236.0,AW00011236,Robert,Phillips,M,M,2026-02-12
11237.0,AW00011237,Rebecca,Nime,M,F,2024-07-11
11238.0,AW00011238,Jessica,Jackson,S,F,2023-12-10
11239.0,AW00011239,Malia,Parker,M,F,2026-03-22
11240.0,AW00011240,Keziah,Baker,M,M,2025-08-31
11241.0,AW00011241,Donna,Miller,S,M,2025-03-25
11242.0,AW00011242,Lisa,Miller,M,M,2023-02-20
11243.0,AW00011243,Stephanie,Lopez,S,F,2023-04-08
11244.0,AW00011244,Baraa,Green,S,F,2025-04-15
11245.0,AW00011245,Thomas,Baker,S,F,2024-10-25
11246.0,AW00011246,Ashley,Wright,S,M,2023-03-21
11247.0,AW00011247,Ronald,Nime,M,F,2024-12-24
11248.0,AW00011248,Elizabeth,Scott,S,M,2025-08-01
11249.0,AW00011249,Emily,Mitchell,S,F,2025-12-21
11250.0,AW00011250,Joshua,Lee,M,M,2023-11-14
11251.0,AW00011251,Mere,Walker,M,M,2023-07-12
11252.0,AW00011252,Lisa,White,S,M,2024-04-18
11253.0,AW00011253,Carol,Singh,S,M,2023-08-17
11254.0,AW00011254,George,Nime,M,F,2026-04-08
11255.0,AW00011255,Thomas,Thomas,S,M,2024-04-04
11256.0,AW00011256,Peter,Nelson,M,F,2023-04-02
11257.0,AW00011257,William,Baker,M,F,2023-01-11
11258.0,AW00011258,Linda,Wilson,S,F,2026-04-14
11259.0,AW00011259,Linda,Manu,S,F,2023-06-21
11260.0,AW00011260,Keziah,Thomas,M,F,2024-04-07
11261.0,AW00011261,Sarah,Garcia,M,F,2023-12-30
11262.0,AW00011262,Stephanie,White,S,M,2026-05-08
11263.0,AW00011263,Nancy,Lopez,M,M,2025-08-29
11264.0,AW00011264,Jason,Clark,S,F,2023-09-13
11265.0,AW00011265,Paul,Patel,M,F,2025-10-20
11266.0,AW00011266,Matthew,Martin,S,F,2024-03-30
11267.0,AW00011267,Anthony,Perez,M,F,2025-03-11
11268.0,AW00011268,Linda,Adams,S,F,2024-03-03
11269.0,AW00011269,Joshua,Clark,M,F,2023-07-12
11270.0,AW00011270,Kimberly,Nelson,S,M,2025-05-19
11271.0,AW00011271,Tane,Walker,S,F,2024-11-05
11272.0,AW00011272,Paul,Singh,S,F,2024-09-11
11273.0,AW00011273,Mary,Nime,S,F,2023-02-14
11274.0,AW00011274,Baraa,Garcia,M,M,2025-11-27
11275.0,AW00011275,Charles,Young,S,M,2025-08-06
11276.0,AW00011276,Tane,Thomas,M,M,2024-01-02
11277.0,AW00011277,Sione,Hall,M,F,2024-05-23
11278.0,AW00011278,Keziah,Clark,S,M,2023-07-19
11279.0,AW00011279,Tane,Baker,S,F,2026-02-14
11280.0,AW00011280,Donna,Nime,S,M,2024-01-09
11281.0,AW00011281,Stephanie,Miller,S,F,2024-04-21
11282.0,AW00011282,Michael,Anderson,S,M,2024-12-24
11283.0,AW00011283,Peter,Phillips,M,F,2025-09-20
11284.0,AW00011284,Paul,Parker,S,F,2023-06-25
11285.0,AW00011285,Michelle,Martin,S,M,2024-11-22
11286.0,AW00011286,Amanda,Wilson,M,M,2023-07-29
11287.0,AW00011287,Stephanie,Perez,S,M,2023-01-23
11288.0,AW00011288,Baraa,Parker,S,M,2025-05-23
11289.0,AW00011289,Peter,Turner,S,F,2025-06-18
11290.0,AW00011290,Jason,Phillips,M,F,2024-09-03
11291.0,AW00011291,James,Perez,M,M,2024-01-03
11292.0,AW00011292,Elizabeth,Toalii,M,M,2024-03-07
11293.0,AW00011293,Michelle,Miller,S,M,2024-06-09
11294.0,AW00011294,Robert,Clark,S,F,2026-03-28
11295.0,AW00011295,Michael,Phillips,M,F,2026-01-15
11296.0,AW00011296,Emily,Hall,M,F,2026-03-18
11297.0,AW00011297,Jason,Ngata,M,F,2023-12-05
11298.0,AW00011298,Tane,Thomas,S,M,2024-04-19
11299.0,AW00011299,Jennifer,Campbell,S,M,2024-10-07
11300.0,AW00011300,Andrew,Anderson,M,F,2023-09-17
11301.0,AW00011301,Jennifer,Lopez,M,F,2025-05-14
11302.0,AW00011302,Sione,Adams,M,M,2025-04-03
11303.0,AW00011303,Thomas,Miller,S,M,2025-06-10
11304.0,AW00011304,Robert,Phillips,M,F,2025-06-10
11305.0,AW00011305,Ashley,King,S,F,2023-11-16
11306.0,AW00011306,Amanda,Smith,S,F,2024-12-11
11307.0,AW00011307,William,Kumar,S,M,2025-02-28
11308.0,AW00011308,Joshua,Lee,S,M,2023-02-26
11309.0,AW00011309,Sarah,Davis,M,M,2024-12-05
11310.0,AW00011310,Donna,Green,S,M,2024-04-11
11311.0,AW00011311,Andrew,Wright,M,M,2025-02-08
11312.0,AW00011312,Tane,Mitchell,S,M,2025-10-14
11313.0,AW00011313,Susan,Lee,S,F,2025-11-28
11314.0,AW00011314,John,Miller,M,M,2025-05-02
11315.0,AW00011315,Emily,Walker,M,M,2026-04-07
11316.0,AW00011316,John,Jones,S,M,2025-09-20
11317.0,AW00011317,James,Green,M,M,2024-04-11
11318.0,AW00011318,Robert,Williams,S,F,2025-02-09
11319.0,AW00011319,Tane,Johnson,M,F,2023-08-31
11320.0,AW00011320,Sione,Johnson,S,F,2024-06-04
11321.0,AW00011321,Kimberly,Wright,M,M,2024-10-05
11322.0,AW00011322,George,Parker,M,F,2026-02-25
11323.0,AW00011323,Mary,Young,M,F,2025-07-23
11324.0,AW00011324,Tane,Ngata,S,M,2024-11-26
11325.0,AW00011325,Keziah,Taylor,S,F,2023-05-19
11326.0,AW00011326,Lisa,Scott,S,M,2025-12-26
11327.0,AW00011327,Melissa,Carter,S,F,2024-09-13
11328.0,AW00011328,Tane,Walker,M,M,2024-04-23
11329.0,AW00011329,Keziah,Hall,S,M,2025-06-25
11330.0,AW00011330,Kimberly,Johnson,M,F,2024-08-09
11331.0,AW00011331,Jessica,Carter,S,F,2026-04-23
11332.0,AW00011332,Kimberly,Clark,M,M,2023-06-02
11333.0,AW00011333,Steven,Clark,S,F,2026-05-18
11334.0,AW00011334,Jessica,Jones,S,F,2023-07-02
11335.0,AW00011335,Baraa,Smith,S,M,2025-01-04
11336.0,AW00011336,Richard,Davis,S,M,2025-08-24
11337.0,AW00011337,Joshua,Kumar,M,M,2026-03-27
11338.0,AW00011338,Jason,Manu,S,M,2023-05-04
11339.0,AW00011339,Amanda,Scott,M,F,2024-05-17
11340.0,AW00011340,Paul,Nelson,S,M,2023-07-03
11341.0,AW00011341,Baraa,Taylor,S,F,2025-01-19
11342.0,AW00011342,Donald,Taylor,S,M,2025-12-01
11343.0,AW00011343,Michael,Wilson,M,M,2025-10-28
11344.0,AW00011344,Sarah,Garcia,M,M,2023-12-02
11345.0,AW00011345,Aroha,Scott,M,F,2025-08-08
11346.0,AW00011346,Robert,Scott,M,F,2023-06-20
11347.0,AW00011347,Michelle,Walker,M,M,2023-05-10
11348.0,AW00011348,Amanda,Lee,M,F,2024-08-05
11349.0,AW00011349,Betty,Mitchell,M,M,2024-03-20
11350.0,AW00011350,John,Baker,M,M,2023-06-23
11351.0,AW00011351,Michelle,Carter,S,M,2024-12-24
11352.0,AW00011352,Emily,King,S,M,2023-07-28
11353.0,AW00011353,Charles,Patel,M,M,2024-03-18
11354.0,AW00011354,Jessica,Lopez,S,M,2023-08-31
11355.0,AW00011355,Jason,Nime,M,M,2023-01-24
11356.0,AW00011356,Stephanie,King,M,M,2023-07-25
11357.0,AW00011357,Rebecca,Walker,M,M,2024-07-29
11358.0,AW00011358,Timothy,Perez,M,F,2023-03-23
11359.0,AW00011359,Barbara,Garcia,S,F,2024-11-12
11360.0,AW00011360,Barbara,Toalii,M,F,2025-07-16
11361.0,AW00011361,Sione,Hall,S,M,2024-07-07
11362.0,AW00011362,Mary,Parker,S,M,2025-06-19
11363.0,AW00011363,Richard,Young,M,M,2025-03-04
11364.0,AW00011364,David,King,S,M,2023-09-14
11365.0,AW00011365,Lisa,Roberts,S,M,2026-05-03
11366.0,AW00011366,Karen,Lee,M,F,2023-10-12
11367.0,AW00011367,Charles,Parker,S,M,2024-09-12
11368.0,AW00011368,Robert,Taylor,M,F,2023-01-09
11369.0,AW00011369,Andrew,Baker,S,F,2026-03-04
11370.0,AW00011370,Baraa,Johnson,S,F,2024-11-13
11371.0,AW00011371,Linda,Kumar,M,F,2024-10-29
11372.0,AW00011372,Jessica,Allen,S,F,2023-05-21
11373.0,AW00011373,Kimberly,Young,M,M,2023-08-12
11374.0,AW00011374,Keziah,Taylor,S,F,2023-03-21
11375.0,AW00011375,David,Taylor,S,M,2024-03-22
11376.0,AW00011376,Deborah,Lewis,M,M,2025-10-15
11377.0,AW00011377,Kimberly,Clark,S,M,2023-09-28
11378.0,AW00011378,Deborah,Baker,M,F,2023-02-08
11379.0,AW00011379,Steven,Williams,S,M,2024-03-23
11380.0,AW00011380,Sandra,Green,S,F,2023-11-22
11381.0,AW00011381,Stephanie,Ngata,M,M,2024-04-18
11382.0,AW00011382,Jessica,Patel,M,F,2023-03-15
11383.0,AW00011383,Michael,Allen,S,M,2025-11-11
11384.0,AW00011384,Mere,Turner,S,M,2026-05-27
11385.0,AW00011385,Michael,Ngata,S,F,2026-04-09
11386.0,AW00011386,Melissa,Ngata,M,M,2023-10-10
11387.0,AW00011387,Daniel,Carter,S,F,2024-04-04
11388.0,AW00011388,John,Jackson,S,F,2025-03-28
11389.0,AW00011389,Mere,Lewis,S,F,2025-11-06
11390.0,AW00011390,Rebecca,Wilson,M,M,2023-06-07
11391.0,AW00011391,Tane,Lewis,M,M,2025-04-03
11392.0,AW00011392,Jessica,Baker,S,F,2024-03-22
11393.0,AW00011393,Mark,Perez,S,M,2026-04-29
11394.0,AW00011394,Keziah,Phillips,S,M,2026-01-28
11395.0,AW00011395,Betty,Smith,S,F,2025-05-14
11396.0,AW00011396,Lisa,King,M,M,2023-11-05
11397.0,AW00011397,Michael,Wright,M,M,2024-06-26
11398.0,AW00011398,Peter,Singh,S,M,2026-03-03
11399.0,AW00011399,Timothy,Taylor,M,M,2024-02-13
11400.0,AW00011400,Stephanie,Walker,S,M,2024-01-09
11401.0,AW00011401,Jessica,Turner,S,F,2024-03-10
11402.0,AW00011402,Mary,Toalii,M,M,2026-03-31
11403.0,AW00011403,Sandra,Walker,M,F,2023-03-23
11404.0,AW00011404,Steven,Mitchell,S,F,2023-06-21
11405.0,AW00011405,Kenneth,Anderson,M,M,2026-03-23
11406.0,AW00011406,Jason,Toalii,M,F,2025-11-15
11407.0,AW00011407,Jennifer,Garcia,M,M,2025-10-22
11408.0,AW00011408,Keziah,White,M,F,2025-08-26
11409.0,AW00011409,Susan,Martin,M,M,2023-06-13
11410.0,AW00011410,Joseph,Williams,S,F,2023-12-01
11411.0,AW00011411,Donna,Carter,S,F,2024-10-11
11412.0,AW00011412,Thomas,Scott,S,F,2025-03-30
11413.0,AW00011413,Joseph,Young,M,F,2024-06-17
11414.0,AW00011414,Deborah,Turner,S,F,2023-04-24
11415.0,AW00011415,Charles,Jackson,M,M,2025-11-04
11416.0,AW00011416,Ronald,Clark,S,F,2026-05-04
11417.0,AW00011417,Betty,Garcia,S,F,2023-05-05
11418.0,AW00011418,Joseph,Nelson,M,F,2025-11-05
11419.0,AW00011419,George,Lopez,M,F,2023-01-16
11420.0,AW00011420,John,Manu,S,M,2024-01-19
11421.0,AW00011421,Emily,Anderson,S,M,2023-07-12
11422.0,AW00011422,Stephanie,Baker,S,F,2024-07-29
11423.0,AW00011423,Charles,Turner,M,M,2026-01-21
11424.0,AW00011424,Donald,Nelson,M,M,2023-10-12
11425.0,AW00011425,Anthony,Phillips,S,F,2025-08-02
11426.0,AW00011426,Linda,Ngata,M,F,2025-08-13
11427.0,AW00011427,David,Taylor,S,F,2026-04-30
11428.0,AW00011428,Karen,Hall,S,F,2025-08-31
11429.0,AW00011429,Robert,Miller,M,M,2025-01-13
11430.0,AW00011430,Anthony,Parker,M,F,2025-10-20
11431.0,AW00011431,Melissa,Roberts,S,M,2024-04-18
11432.0,AW00011432,Malia,Patel,M,M,2026-03-01
11433.0,AW00011433,Elizabeth,Wright,M,M,2025-02-11
11434.0,AW00011434,Kenneth,Manu,M,M,2024-01-29
11435.0,AW00011435,George,Thomas,M,M,2025-10-14
11436.0,AW00011436,Susan,Baker,S,F,2026-05-11
11437.0,AW00011437,Donald,Roberts,S,M,2023-05-31
11438.0,AW00011438,Paul,Wright,M,M,2024-12-09
11439.0,AW00011439,Michelle,Thomas,M,M,2024-12-07
11440.0,AW00011440,Nancy,Phillips,M,F,2026-03-16
11441.0,AW00011441,Melissa,Unknown,M,F,2024-07-23
11442.0,AW00011442,Charles,Walker,S,F,2023-10-19
11443.0,AW00011443,Patricia,Perez,M,M,2024-03-17
11444.0,AW00011444,Mere,Jones,M,M,2025-05-08
11445.0,AW00011445,Sarah,Lee,M,F,2023-07-03
11446.0,AW00011446,Kimberly,Nelson,S,M,2023-12-05
11447.0,AW00011447,George,Clark,M,M,2025-01-10
11448.0,AW00011448,Aroha,Lewis,S,M,2025-09-30
11449.0,AW00011449,Kimberly,Baker,S,F,2025-02-06
11450.0,AW00011450,Steven,Thompson,S,F,2023-01-28
11451.0,AW00011451,Michelle,Adams,S,F,2023-07-22
